00:00:cleamoon__: 话说初中有java好神奇
19:25:geordi: int const [3]
19:26:varna: POPOBE: msg发给你示例了
19:28:lh_bot: geordi: { foo(1); } template<typename T> void foo(T &&){ cout <<TYPE<T &&>; }
19:28:geordi: int&&
19:28:lh_bot: geordi: { foo(1); } template<typename T> void foo(T &&){ cout <<TYPE<add_const_t<T>>; }
19:28:geordi: int const
19:28:lh_bot: geordi: { constexpr auto i = 1; foo(i); } template<typename T> void foo(T &&){ cout <<TYPE<add_const_t<T>>; }
19:28:geordi: int const&
19:29:lh_bot: geordi: erase constexpr 
19:29:geordi: int&
19:29:lh_bot: 坑了  你看
19:29:lh_bot: 而且那帮白痴为什么会平白无故造一个 xvalue 出来
19:29:lh_bot: 归根结底还是形参算局部变量的问题
19:30:varna: Plough: 我发现我上次的推演算错一处
19:30:lh_bot: 如果形参不算局部变量本来就可以直接把右值绑在形参上
19:30:lh_bot: 但是现在免不了得 copy/move 一次
19:45:POPOBE: https://i.imgur.com/TMU7s4e.jpg
19:45:POPOBE: 好奇怪…智商理解不能了
19:47:POPOBE: 是先x递减在判断大小呀，那x递减到0的时候不是就直接退出循环体了么…怎么还会输出零…
19:49:FrankHB: 跟形参p关系。
19:49:FrankHB: cbv本来就直接禁止你乱搞，不局部也照样要copy/move。
19:50:lh_bot: FrankHB: 瞎吱吱什么   你都没看懂我说的啥
19:50:T2: POPOBE: 打不开
19:51:POPOBE: OAO
19:51:lh_bot: pass by val 应该把形参的析构义务直接丢给 caller
19:51:FrankHB quit:Remote host closed the connection
19:51:lh_bot: 跑你妹
19:51:FrankHB joined channel
19:52:POPOBE: T2: int x = 10; while (x-->0) cout<<x;
19:52:lh_bot: FrankHB: pass by val 应该把形参的析构义务直接丢给 caller
19:52:T2: POPOBE: 后置++返回原值
19:52:lh_bot: POPOBE: int x = 10; for(;;){ --x; if(!(x > 0)) break; cout <<x; }
19:52:FrankHB: 然后通通变成temporary搞到full expression屁股上？
19:52:lh_bot: geordi: int x = 10; for(;;){ --x; if(!(x > 0)) break; cout <<x; }
19:52:geordi: error: expected unqualified-id before 'for'
19:53:T2: 后置--也是
19:53:FrankHB: 然后make_unique爆炸？
19:53:POPOBE: 喔！！！
19:53:lh_bot: geordi: { int x = 10; for(;;){ --x; if(!(x > 0)) break; cout <<x; } }
19:53:geordi: 987654321
19:53:POPOBE: T2: 这样子啊！！！果然该看书了啊
19:53:lh_bot: geordi: { int x = 10; for(;;){ auto tmp = x; --x; if(!(tmp > 0)) break; cout <<x; } }
19:53:FrankHB: 应该个蛋蛋。要搞也是另外糊上去。而且就直接明确不算cbv得了。
19:53:geordi: 9876543210
19:53:lh_bot: FrankHB: 逗比
19:53:POPOBE: lh_bot: 谢谢啦;)
19:53:FrankHB: 只要你搞不掉原来的cbv就是得艹xvalue。
19:54:boosure joined channel
19:54:T2: geordi: int a, b = 1; a = b--; cout << a << b << endl;
19:54:geordi: error: 'a' does not name a type
19:54:FrankHB: 你只能糊新的翔，干不掉旧的。
19:54:lh_bot: FrankHB: 原来的 cbv 还不是 c++ 艹出来的
19:54:lh_bot: c 哪里有这破事
19:54:boosure quit:Changing host
19:54:boosure joined channel
19:54:POPOBE: 机器人君会看注释不
19:54:lh_bot: 有心情有时间我早就自己造语言了
19:54:T2: geordi: int a; int b = 1; a = b--; cout << a << b << endl;
19:54:geordi: Same error.
19:54:FrankHB: C的形参不是局部对象？
19:54:lh_bot: C 有析构？
19:54:T2: geordi: int a = 0; int b = 1; a = b--; cout << a << b << endl;
19:54:geordi: Still same error.
19:55:lh_bot: 管他是不是行为一致就可以认定为不是
19:55:FrankHB: 而且你一开始就把局部对象跟自动生存期糊一块了。
19:55:POPOBE: geordi: <<"不客气" //谢谢
19:55:geordi: 不客气
19:55:lh_bot: 反正 C 的语义也糊弄不明白
19:55:FrankHB: 你不要局部对象那就得把词法作用域拆了。
19:55:T2: geordi: int a = 0; int b = 1; a = b--; cout << a << b << endl;
19:55:geordi: error: 'a' does not name a type
19:55:lh_bot: 语法作用域和生存期什么关系
19:55:lh_bot: static local 笑不语
19:55:FrankHB: “局部”就是指作用域。
19:55:lh_bot: T2: 用花括号括起来
19:56:lh_bot: FrankHB: 行  我措辞失误
19:56:T2: geordi: { int a = 0; int b = 1; a = b--; cout << a << b << endl; } 
19:56:geordi: 10
19:56:FrankHB: “形参算局部变量的问题”这不是你自己说的？
19:56:T2: geordi: { int a = 0; int b = 1; a = b--; cout << a << " " << b << endl; } 
19:56:geordi: 1 0
19:56:FrankHB: 那就说自动生存期艹掉？
19:56:T2: 不够智能啊。
19:56:POPOBE: 每日调戏geordi君(☆_☆)
19:56:FrankHB: 好吧，你怎么艹make_unique？
19:56:T2: 非要个main
19:56:lh_bot: 形参当然不该算局部变量  这个原因不一样而已
19:57:lh_bot: 形参的生存期比局部变量长
19:57:FrankHB: 形参还就该是局部变量，除非你糊个新的乱七八糟的玩意儿。
19:57:lh_bot: 这已经是本质区别了
19:57:lh_bot: 你以为我不想啊
19:57:FrankHB: 你怎么不说外部block的局部变量比内部block的局部变量生存期长所以不是一回事？
19:57:lh_bot: 不管你能不能艹掉系统栈   形参析构都应该退栈之后发生的
19:57:lh_bot: FrankHB: 强词夺理
19:58:FrankHB: 明显是被C不兴nested function荼毒了。
19:58:FrankHB: 多嵌套几层你就每词了。
19:58:lh_bot: 形参的语法作用域和直接定义于函数里的自动变量是一致的
19:58:FrankHB: 没词。
19:58:T2: POPOBE: 多调戏一下没事的。
19:58:lh_bot: FrankHB: 看都不看人家说什么就乱喷
19:58:FrankHB: 而且你上面析构绝逼有个不自然的问题。
19:58:lh_bot: FrankHB 是大傻逼  句点
19:58:lh_bot: 多说无益
19:59:FrankHB: 分配存储跟生存期什么关系扯清楚没。
19:59:FrankHB: 逗，这么大窟窿还好意思吱。
19:59:T2: = =
19:59:T2: 实现定义吧。
19:59:FrankHB: 实现个蛋。
20:00:FrankHB: 你能直接搞出来允许同一个对象::operator delete在析构之前？
20:00:FrankHB: 搞出这个再折腾先退栈再析构。
20:00:FrankHB: 否则横竖自己打脸。
20:01:T2: 似乎是这么回事
20:02:FrankHB: 本来就只能是这么回事，要么就差不多直接把algol的东西全艹掉了。
20:02:FrankHB: 或者干脆允许sizeof==0的对象，只不过结果又是开洞。
20:02:T2: 你们吓到妹纸了喂
20:03:T2: 又给吓跑了不怪我。
20:03:FrankHB: 啥，一整页不都是♂的？
20:03:FrankHB: 难道geordi是妹吱？
20:03:T2: popobe
20:04:POPOBE: geordi: << "是的"
20:04:geordi: 是的
20:04:POPOBE: 哈哈哈哈好好玩
20:04:POPOBE: geordi: << "转义字符认不认呢\n"
20:04:geordi: 转义字符认不认呢
20:05:POPOBE: 哇塞认！
20:05:T2: 所以说哎，艹船吧你们。
20:05:xxxxxxxx joined channel
20:06:xxxxxxxx: 陕西女生被曝收百万元逼学妹向官员"卖处"
20:06:T2: xxxxxxxx: 爆
20:06:xxxxxxxx: 金屁股?
20:06:POPOBE: T2: t2噬菌体吗233333
20:06:T2: 你看，所以才有药娘。
20:06:AngelC joined channel
20:06:T2: POPOBE: 不是的orz
20:06:lh_bot: FrankHB: 瞎叫唤什么  形参本来就是函数退栈之后析构的
20:07:lh_bot: 你自己去查反汇编
20:07:T2: POPOBE: 太2的意思。
20:07:T2: 2333
20:07:POPOBE: T2: erhandsome
20:07:POPOBE: 昨儿看见的一个人
20:07:POPOBE: 翻译过来是二帅
20:07:sismvg quit:Quit: ChatZilla 0.9.91.1 [Firefox 28.0/20140314220517]
20:07:POPOBE: 不行我去写作业了…
20:07:T2: 2333
20:09:lh_bot: FrankHB: 实现就是这样子的  不能直接把 cbv 的形参绑右值上就是语言逗比  没什么好解释的
20:09:lh_bot: 而且  平日value
20:09:lh_bot: prvalue 直接把 cp ctor 优化没了
20:09:lh_bot: 这里的问题就是 xvalue 没法 copy elision
20:09:POPOBE left channel:
20:10:POPOBE joined channel
20:10:POPOBE quit:
20:11:xxxxxxxx: 领头的两个孩子银行卡里有很多钱，其中一个卡里有120万元，另一个卡里有80万元，听说这些钱是一些老板给的，那些老板花钱通过她们找女生“卖处”给一些官员，以便跟官员拉关系、揽工程。
20:11:T2: 拉关系肯定是这样了，主要是处什么品质。
20:12:xxxxxxxx: 200w随便去找几个coser什么的不是手到擒来?
20:12:T2: 那不是处啊
20:12:dantmnf: 233
20:12:xxxxxxxx: 不是说了重要的是什么品质么
20:12:T2: 处大概也算品质之一吧，而且学生什么的显得档次高些。
20:12:T2: = =
20:13:T2: 你看这群绅士又给妹纸吓跑了。
20:13:xxxxxxxx: 那些高二女生‘验货’的标准很高，看脸蛋长得是否漂亮、是不是处女、腿是不是修长等。
20:14:T2: 那差不多就这个价
20:14:T2: 而且应该不是一个
20:15:T2: 目测长期合作关系
20:16:T2: 妹纸吓坏了外，问我你们是不吃错药了。
20:16:xxxxxxxx: 所以说去找coser 是不是处不一定 总之不会闹个大新闻
20:16:T2: 我只能说他们今天没吃，2333。
20:16:xxxxxxxx: 妹子?
20:16:AngelC: ...
20:16:T2: 这还怕大新闻
20:16:T2: xxxxxxxx: 就是那个POPOBE
20:17:xxxxxxxx: 不是基佬?
20:17:T2: 似乎不是
20:17:T2: 纯血妹纸即视感
20:18:FrankHB: lh_bot: 关实现毛事，现在扯的是抽象机语义。
20:19:FrankHB: 你要as-if随便怎么整。你要真规定析构和作用域的关系了就不用提实现了。
20:19:xxxxxxxx: 小耗怎么说?
20:19:T2: 就是小耗和耻球互喷
20:19:xxxxxxxx: 我说妹子
20:20:T2: 然后妹纸偷偷问我是不大神都这么凶。
20:20:T2: 2333
20:20:xxxxxxxx: 大神都是一脸护心毛
20:20:FrankHB: lh_bot: 没法copy ellision？一坨national body comments看了没？
20:21:FrankHB: T2: “给”妹子吓跑不是被动么。
20:21:T2: 好吧
20:22:lh_cat: frankhb: 实参直接绑非引用形参上懂？
20:23:T2: 反正我觉得大概都活不过一周就是了。
20:24:T2: lh_bot: cbv啊，绑？
20:25:T2: 不是，我怎么感觉刷新三观了呢。
20:29:FrankHB: lh_cat: 你丫这不叫cbv，懂？
20:29:T2: 取值的时候就找实参取值？似乎也能实现的样子。
20:30:xxxxxxxx: http://www.bilibili.com/video/av1854879/ 好像大酒神
20:30:T2: 但是 i++ 这种怎么办
20:30:T2: xxxxxxxx: 2333，别黑我猪肉酒了。
20:31:xxxxxxxx: 你自己看啊
20:31:FrankHB: 首先，如果直接引用搞cbr，那没这种破事，所以只能照现在的C艹是cbv。
20:31:T2: 猪肉酒10年之前还是不错的
20:32:FrankHB: 其次，既关心不想要被copy/move坑，又非得不搞引用……你蹭得累？
20:32:T2: 人怕出名猪怕壮嘛
20:32:FrankHB: 要什么绑定直接cbn得了。C艹没有？你可以叫WG21撸进去。当然再不行用宏凑合也可以装得像，你看着办。
20:33:FrankHB: 但是要干掉（类类型的）cbv，反正就是不可能。
20:34:T2: ++i似乎都干不掉？
20:35:lh_cat: frankhb: 调用者负责拷贝懂？
20:35:T2: 你真的不存储么，真的么真的么？
20:35:FrankHB: lh_cat: ditto
20:36:FrankHB: 你还没说是不是要延长到full expreesion和怎么艹make_unique的破事呢。
20:36:FrankHB: 对了，cbn（name不是need）自身还有个规范化问题，你如果不想编译器像实例化模板一样抽风还是别想太多的好。
20:38:T2: xxxxxxxx: 毕竟现在do1没前途，连pis的状态也就那样。
20:41:AngelC_ joined channel
20:41:FrankHB: 哦，cbn还不止这一个问题。因为作为参数的后项可以未规约而不是仅仅传“值”，所以要么搞个expression tree什么的当元类型允许传未规约项，要么就规定必须暴露函数实现。啪不啪？
20:44:AngelC quit:Ping timeout: 265 seconds
20:45:FrankHB: 如果不要cbn也不想干掉cbv，在抽象机语义上搞这种嘛也不是不行，两个选择：1.修改“对象”“生存期”的定义；2.针对形参生存期增加新的扩展规则，类似extended to full expression（你总得规定一个限度，否则什么形参都和静态对象一样了）。选哪个？
20:46:FrankHB: 只是不管选择哪个，RAII副作用的时机都会挂掉，make_unique这种靠函数求值不interleave限定顺序的玩意儿也就统统没用了。
20:46:FrankHB: 少个copy ellision跟这种破事比起来算个屁啊。
20:46:AngelC_ quit:Quit: Leaving
20:48:endle quit:Quit: Leaving
21:01:lh_cat: 帝球算个串啊
21:04:FrankHB: 先解决问题再吱。
21:14:lh_bot: 帝球算个串啊
21:16:krfantasy joined channel
21:17:lh_bot: FrankHB: 就是干掉现在的 cbv   现在叫 cbrr 的改成 cbv  现在叫 cblr 的改成 cbr
21:17:boosure quit:Quit: Get your hand off of it
21:18:krfantasy quit:Remote host closed the connection
21:19:POPOBE joined channel
21:22:lh_bot: FrankHB: 实际上倒未必是 cbv   还可能是 cbvr
21:23:lh_bot: 并且这里适用 strict aliasing rule
21:25:FrankHB: cbrr改cbv？你直接砍掉rr得了。
21:28:FrankHB: cbrr还真不会是cbv，还是会有alias的破事。
21:30:lh_bot: FrankHB: 就是这意思
21:30:lh_bot: 逗比
21:30:lh_bot: 说了你从来不看人家说的啥意思就瞎吱吱
21:30:varna: 药娘呢
21:30:FrankHB: 自己评论自己逗比么。
21:31:FrankHB: 反正砍掉cbv比引入cbrr这样更逗比。
21:31:FrankHB: make_unique的破事还是没解决。
21:31:FrankHB: 不但如此，所有make_*都失效了。
21:31:varna: 我提一句
21:32:varna: 如果所有改良前提是c艹语义凌驾一切其他指称语义、单纯的抽象机语义去死的话，那么爱怎么搞怎么搞
21:32:lh_bot: make_love 呢
21:32:Plough: 妈了个逼角川你到底是故意的还是你们用了个狗屎随机数发生器
21:33:varna: so-called domain-oriented i-am-your-daddy-solution-for-all-theory-problems-thus-u-ar-all-fools
21:33:FrankHB: 中出→void
21:35:lh_mouse quit:Read error: Connection reset by peer
21:36:varna: 我嚓
21:36:lh_mouse joined channel
21:36:varna: 算了我来直播一下
21:40:varna: 2-3我来了
21:41:varna: 8dG/2-3
21:42:varna: 沟
21:44:varna: 总感觉有什么在本格地燃烧
21:46:Plough: 话说
21:46:FrankHB: lh_bot: 我又想到这破事了。http://scottmeyers.blogspot.com/2014/07/should-move-only-types-ever-be-passed.html
21:46:Plough: 我突然想到特征随便抽大丈夫？
21:46:varna: 裁判决定
21:46:Plough: 到时候海况不好只抽到一个特征：甲板上写了个ス
21:46:varna: ok, 进Boss了
21:46:varna: 大潮大破，不过我帖了两个损管
21:47:Plough: 你在做出击任务？
21:47:varna: 8dG
21:47:Plough: 哦……
21:47:FrankHB: 其实保留返回copy-initialization干掉现有cbv从技术上也不是不行，也就是用户得自己复制构造参数而已。破事在于这样做显然麻烦，而且根本就没办法在接口里表示“保证复制”。
21:48:varna: 应该是赢了
21:48:varna: 赢了
21:48:Plough: 其实我想把特征分几个等级
21:48:varna: 夜战骑脸
21:48:Plough: 海况不好其他特征都认不出来就看到个识别字总感觉略魔法……
21:48:varna: 可以
21:49:FrankHB: 艹rref本来就是为了保证在复制的基础上和转移区分。如果要这种吱优化，直接干掉传参的copy然后谎称cbv嘛也不会导致矛盾，但是用户显然就觉得艹蛋了。
21:49:varna: 一个损管都没烧
21:49:Plough: 损管加回避
21:50:FrankHB: copy ellision自身是没问题，但是用cbrr糊弄，postcond就烂了，而且没有其它任何替代手段能在接口里表示这一点。结果就是减弱类型检查。
21:51:FrankHB: 至于用户在该用rref的地方用了复制，那是用户自己活该。以2b为由干掉本来正常的特性，显然只能是吱吱。
21:51:varna: 说那么多其实只是看设计者愿意不愿意把语言全部下降到实现程度
21:52:Petrus07 joined channel
21:52:Plough: 突然觉得Lady Lex也挺好看的
21:52:Plough: 下一个做Lady Lex吧……
21:53:Xilzzert quit:Ping timeout: 264 seconds
21:53:varna: 不太喜欢Lady Lex的造型
21:54:varna: 如果非要做航母的话，就纪念意义来说我会选Big E, 就好看程度来说当然是凤翔（笑）
21:54:Plough: 大E也不错
21:55:varna: Big E毕竟战果辉煌
21:55:Plough: 大E运70
21:55:varna: 大E打沉的敌舰都不止70了吧
21:56:varna: 毛蛋
21:56:varna: 第二战队出击强制长门啊
21:56:Plough: 23333
21:56:Plough: 长门练度太低么
21:56:varna: lv36
21:57:varna: 除了2dd带E点之外全图随机啊……算了硬来吧
21:59:varna: 肥桑肥城电探水爆，长门陆奥标准装备，试试看吧
22:05:GODDOG joined channel
22:05:GODDOG quit:Client Quit
22:05:lh_cat: 有肥皂？
22:05:varna: 前段时间发觉透明皂洗常穿的外衣效果不错
22:05:FrankHB: varna: 如果只是用rref代替cbv的copy-initialization那就可以不是实现程度。不过吱做法残疾是肯定的。
22:06:varna: 以前洗那种冲锋衣的料子我都用洗洁精……
22:06:GODDOG joined channel
22:06:lh_cat: 吱球就不残疾
22:07:lh_cat: 姺姞婧？
22:07:lh_cat: 哇  居然真的有耶
22:07:varna: 洗碗的其实效果很好
22:08:varna: 冲锋衣的面料经不起一般怒搓，所以刷子+洗洁精就用得上了
22:10:izmntuk quit:Quit: pending
22:12:Petrus07 quit:Read error: Connection timed out
22:19:Petrus07 joined channel
22:22:GODDOG quit:Ping timeout: 252 seconds
22:22:T2: varna: 这傻逼规则书好疼
22:23:varna: 看到什么了
22:23:GODDOG joined channel
22:23:T2: 主要是字体质量疼
22:24:varna: 没办法
22:24:T2: 还好
22:25:varna: 噗，怎么满地赤城
22:26:Plough: 掉赤城了？
22:26:T2: 索敌范围居然是按吨位算的。
22:26:T2: @大和
22:27:varna: 吨位决定尺寸
22:27:T2: 你说大和的索敌范围比Iowa大你打死我我都不信好吧。
22:27:varna: Plough: 我已经捞到很多赤城了，四五个的样子
22:27:varna: T2: 你知道索敌怎么算的吧
22:27:Plough: 欧
22:28:T2: f(dp)
22:28:varna: 目测索敌要按天气和时间调整的
22:28:varna: 为什么不好好看手册就乱说呢……
22:28:varna: Iowa本来性能就不如大和突出，但理念比大和好
22:32:T2: 好吧
22:33:T2: 其实我觉得萌大拿取消了实在是遗憾
22:33:Plough: 快上萌大拿
22:33:T2: 不然那个东西应该是叼炸了
22:33:Plough: 那个东西的作用参见大和
22:33:T2: 作用不谈哎
22:34:T2: 再说那会儿IJN也没什么灰机了。
22:34:Plough: 那更没必要建了啊
22:34:Plough: 没飞机了直接炸炸炸
22:34:T2: 卧槽，那个数据完美啊我草草草草草。
22:34:Plough: 谁还花钱专门造弄战舰去打……
22:35:Plough: H45还带着古斯塔夫跑40kt呢
22:35:Plough: (虽说我怀疑这个是徳棍脑洞
22:35:condy quit:Quit: leaving
22:35:varna: 5-1月常是3-5一式弹的前置啊
22:35:T2: 论元首的脑洞
22:36:Plough: +
22:36:Plough: 准备好接受精神污染吧……
22:36:varna: 武长陆尻犯裤+道中支援
22:36:T2: = =
22:37:Plough: 欧洲人就是奢侈
22:37:Plough: 5-1上武藏
22:37:T2: TMD造一条出来我不就能艹大和了么。
22:37:varna: 我刚才上的就是武藏
22:37:Plough: HOMO就是奢侈
22:37:Plough: T2: 你现在也能艹
22:37:T2: 飞机艹的不算
22:38:Plough: 我就说战舰
22:38:varna: 航巡带水爆吧……
22:38:Plough: 之前我转那个大和对Iowa的战报的时候你在不在来着
22:38:T2: 不用飞机有点难，虽然说Iowa看起来叼一些。
22:38:varna: 等下
22:38:varna: 我有个问题
22:38:varna: 那个大和的玩家有没有放水观
22:39:Plough: 你说弹着观测？
22:39:varna: 对
22:39:varna: 虽然要拼AA但放了总比不放好吧
22:39:T2: SK5的Iowa命中直接比大和高了50%。
22:39:Plough: 我看看
22:39:T2: 放不放就那么回事了。
22:40:varna: T2: 命中诸元是？
22:40:Plough: 他光写了H1的结果……
22:40:Plough: 要不然找时间我们来试一次？
22:40:Plough: 用SK4，直接同航
22:40:varna: 你试试看吧
22:41:Plough: 这周末我试试
22:41:varna: 把水观和AA算进去，两方从最大射程外开始接近
22:41:Plough: 那我会让大和躲着Iowa打……
22:41:T2: Plough: 你跑不过。
22:42:GODDOG: 看了《感官世界》 再也不想看电影了
22:42:varna: Iowa是高速
22:42:Plough: 跑不过我也能多撸几炮
22:42:varna: 但大和的好处是操不动
22:42:varna: 哦对，32没了我还能用14！
22:43:T2: 海况：beafort 3  格外晴朗 海况对船的行动不影响
22:43:T2: 双方人员素质： BCR FCR都是8  CREW+2  DCR=7
22:43:varna: 不不，我说命中诸元……
22:44:T2: 3W码对轰orz
22:46:varna: 14也用完了，用22……
22:47:GODDOG quit:Ping timeout: 265 seconds
22:48:GODDOG joined channel
22:48:GODDOG quit:Client Quit
22:49:Petrus07 quit:Read error: Connection timed out
22:51:Petrus07 joined channel
22:52:POPOBE: …
22:53:T2: 我先算算炮弹
22:57:T2: SAP打它似乎都不爆orz
23:02:Plough: 先碎叫
23:02:Plough quit:Quit: 碎叫
23:04:varna: T2: AP打大和能彻甲就不错了
23:05:varna: 大和只是整体落后，不是指标落后啊……
23:05:T2: 我是说院长和南方的主炮装SAP去打吹雪级似乎都不爆
23:05:T2: 另外我的dd质量比他差好多orz
23:06:T2: 打大和果然还是雷击吧。
23:06:varna: 哦对，提醒你一点
23:06:T2: 我稍微算了一下，炸弹似乎没什么效果。
23:06:varna: 船表里的雾岛是战巡时代的
23:06:varna: 如果你要估计敌人舰船的水准，自己查一下近代化改修之后的资料
23:07:T2: 擦
23:07:T2: 打雾岛就上AP了，现在的问题是打DD用什么，显然这才是本体。
23:08:T2: 口径太大也是难
23:09:varna: 我再提醒你一下，注意计算
23:10:T2: OK
23:10:varna: 一看你对敌方战舰的看法就是你没算过
23:11:T2: 我都没查过，我就知道他的主炮300+口径完全打不穿我。
23:12:T2: 院长是可以的，南方似乎真的打不穿。
23:12:varna: 你看看你……
23:13:T2: 我正在查 好疼
23:13:varna: 而且你都不管战斗位置的么……
23:13:T2: 不可能太近的。
23:14:varna: 不是不可能太近
23:14:T2: 所以我在考虑SAP
23:14:varna: ……怎么说呢，你平时做研究之类的都是这作风么
23:14:T2: 好吧，不靠谱orz
23:14:varna: 你很容易确定两方战舰的免疫区啊
23:15:varna: 很简单的控制变量，初中就该学过……
23:15:T2: 我连数据都没查到呢。
23:15:varna: 那你考虑什么……
23:15:varna: 你连侵彻力的具体数值都没有……
23:15:T2: 正在查
23:16:varna: http://pan.baidu.com/s/1i3KMn69
23:17:T2: 有了，thx
23:18:varna: 命中诸元H表 命中分布I表 彻甲R表
23:18:varna: 如果不愿意算公式，资料里有个excel表格可以帮你算
23:19:T2: 我直接在舰船数据里找看。
23:20:varna: 舰船数据里只有装甲值啊……
23:20:varna: 光拿那个你能看出什么来
23:22:T2: 南方的DBT面防御比院长稍强2333
23:22:varna: 所以我说你到底能看出个什么来啊
23:22:T2: 好吧，A面也要抢。
23:23:varna: 你知道A是什么吧
23:23:varna: 我是不用那个平均装甲的，彻甲用进阶规则
23:23:T2: 嗯
23:23:erhandsome joined channel
23:23:T2: 卧槽表还是歪的orz
23:24:varna: 我觉得比起表之前，先考虑下你的脑子……
23:24:varna: 折腾大半天结果你连个数都没算出来……
23:24:T2: = =
23:24:T2: 马上
23:25:varna: 又不是我要你结果……
23:26:T2: 好吧orz
23:26:varna: 给自己算个数据而已，要么算要么不算，何必糊弄自己……
23:26:varna: 那些数我大致算过了
23:26:T2: 我没糊弄，不是没查么。
23:26:T2: 没查过。
23:26:varna: 你看，要么不查不管了，要么直接查……结果绕了这么一大圈
23:27:varna: D B C T四个装甲值，然后假定可能的交战距离，R表对应V/H装甲，然后扔进公式算出彻甲和穿透参数……
23:27:varna: 然后你要是高兴还能给个按弹种的伤害期望
23:28:T2: 这个我知道
23:28:varna: 那不就几分钟的事……
23:30:T2: 我从来没干过类似的事情orz
23:30:varna: 这只是一般性的习惯吧
23:31:varna: 既然需要数据，那就算个数据出来；如果不愿意算，就扔一边不管了
23:32:varna: 神啊，饶过陆奥吧
23:32:varna: 那东西是自爆的
23:33:T2: 我只是没查过orz
23:33:varna: 查几回就好了
23:34:T2: 卧槽，驱逐舰的防御直接没数据？
23:35:varna: 1''
23:35:varna: 规则里写过
23:35:T2: 这是1吋的意思么？
23:36:varna: 是
23:37:T2: 就是说主炮con还是会溢出？
23:37:T2: 不爆orz
23:37:varna: 打中就足够了
23:38:T2: 那就主要看雾岛君
23:39:varna: 未必
23:40:varna: 你对雾岛的看法决定了主力决战时候日军的态度
23:41:T2: 雾岛的装甲似乎只有70mm也就是3in不到。
23:42:varna: 不不
23:42:T2: 这简直是在逗我。
23:42:varna: 我说了那是战巡时代的数据
23:42:varna: 作为战列舰的雾岛防御面没那么惨
23:44:T2: 好吧，日军的战舰防御面普遍也是低。
23:44:T2: 除了大和
23:44:T2: orz
23:45:varna: 防御差不多是B 203mm D 165mm T 229mm
23:45:T2: BC两面还不错。
23:46:varna: 防御差不多是B 203mm D 165mm T 229mm
23:46:varna: 防御差不多是B 203mm D 165mm T 229mm
23:46:T2: 就是说半穿甲就可以完爆对面了。
23:48:T2: con打不穿雾岛
23:49:T2: 存在打不穿的可能性。
23:49:T2: 好吧其实还是打得穿的。
23:50:QistChan joined channel
23:50:T2: orz
23:50:varna: QistChan: 欢迎
23:50:T2: QistChan: hi
23:50:QistChan left channel:
23:50:T2: 刚好能打穿。
23:50:T2: orz
23:51:T2: 2W码上。
23:51:varna: 雾岛开始不劣势的区域是22500
23:52:varna: 至于这是什么意思，请自己体会
23:52:T2: 他可以打穿我了orz
23:52:varna: 错
23:53:T2: 我再查一下
23:53:varna: 不是这个错了
23:53:T2: 就是说超过这个我就要换弹种了。
23:53:varna: 考虑的角度少了
23:54:T2: 不过超过这个我的火控优势也就体现了。
23:54:T2: 我想想看
23:54:varna: 你觉得雾岛能活过这个距离么
23:55:T2: 必须不能
23:55:T2: 但是这个距离con弹打不穿他。
23:55:varna: 那么日军的作战思路是什么
23:57:varna: 简单来说，如果我是日军，我会跟你在毫无准备的情况下正面作战么
23:57:T2: 不可能
23:57:T2: 他直接冲过来没有胜算的。
23:58:varna: 那么如果日军和你交战了，可能的情况是什么
23:58:xxxxxxxx: 再不冲就肯定输了或者有孔明
23:59:T2: 他会先从一侧放dd，然后雾岛从另一侧带ca出来迅速接近。
23:59:varna: 问题是你的情况呢
23:59:T2: 我直接调头了。
