00:00:varna: 我这辈子也没见过电脑巫妖开大呢，说不定这次能知道他们其实是会放大的……
04:12:xxxxxxxx: 这时候要实两边被抓就喜闻乐见
04:13:varna: 问题主要是他们这个游戏怎么能拿到百度那边的首肯……
04:14:xxxxxxxx: 我老婆的.....
04:14:cleamoon_: 谁去公布一下洗脚盆的舰娘id，那就算大新闻了
04:14:varna: 你要说公司为了宣传产品而霸占贴吧这倒正常
04:14:xxxxxxxx: 某人名句
04:14:varna: 但是他们这个连产品都不算
04:14:varna: 这到最后说不清楚……
04:14:cleamoon_: 百度要钱不要命不要脸的·
04:15:xxxxxxxx: 其实那个公司实际上受百度控制(好大一盘棋
04:17:varna: 百度这里也拿不到多少钱啊
04:18:xxxxxxxx: 收本子
04:18:varna: 本子质量太差
04:18:cleamoon_: 马云的vpn被封了，猫了个E4呗
04:18:varna: 我发那个最上本才是杰作啊
04:21:cleamoon_: 3h下完是坏的
04:22:varna: ...
04:26:xxxxxxxx: 为啥血型君里面全是刷星座的....
04:28:xxxxxxxx: http://www.bilibili.com/video/av1753947/ 145+贫r
04:31:cleamoon_: 都脱了呗
04:43:varna: http://www.moejn.com/kancolle/
04:43:varna: 没救了
04:43:varna: 似乎骇客已经取得战果……
04:46:cleamoon_: 管理员你饿不饿啊，要不要我煮碗面给你吃啊= = 
04:46:varna: 说起来今天早上似乎早点去吃饭比较好
04:46:varna: 上次去的时候牛肉烤饼都卖完，只剩猪肉馅的
04:46:varna: 虽说也不错，不过最好吃的还是牛肉馅
04:47:xxxxxxxx: 处男烤饼
04:47:cleamoon_: 弄氧气馅的
04:48:xxxxxxxx: 氢气馅的!
04:48:varna: 甲液啊，这个想法不错
04:48:varna: 说起水雷战队，当然得有氧气鱼雷
04:48:xxxxxxxx: 给口支一个氢气烤饼
04:49:varna: 无异于气球
04:49:xxxxxxxx: 一场带上干粮说走就走的旅行
04:51:xxxxxxxx: 更重要的是 烤饼可以通过开小洞慢慢着陆 终于不怕摔死了
04:53:varna: 我觉得你解决了重要问题
04:56:cleamoon_: 吃饼太快也会死
04:56:xxxxxxxx: 实验: 耗是否能意识到自己的毁灭
04:57:varna: 在那饼上写满咒文好了
04:57:xxxxxxxx: 我似乎做了个大死
04:57:varna: 我来写
04:57:varna: 开头是perl -e
04:59:cleamoon_: 2333
04:59:cleamoon_: 结尾是)))))))))
04:59:xxxxxxxx: 把一只小耗放上氢气烤饼 开始吃烤饼 如果小耗意识到自己的毁灭 就会停止吃烤饼   那么小耗究竟能不能进行一次有来有回的旅行呢
05:00:varna: 我曾经想做一个把perl程序如同s-expr一样写出来的模组
05:01:varna: 不过后来想想意思不大，就搁置了
05:03:xxxxxxxx: 有人猜测一下小耗氢气烤饼实验的结果么?
05:04:varna: 我把饼吃了，实验失败
05:04:xxxxxxxx: 长颈驼?
05:05:varna: 我肚饿
05:06:xxxxxxxx: 补充一些蛋 白 质?
05:07:varna: 讨论用的报告还差一点
05:08:varna: 我先收两个远征
05:11:cleamoon_: 最上佳作下了65%了
05:13:cleamoon_: 公告都没了
05:13:varna: +
05:14:varna: 让最上造装备，又都失败了
05:17:varna: 我了个大槽
05:17:varna: 现在我面临比较严峻的状况
05:18:varna: 出击任务要用到的舰，一半都没练过……
05:22:varna: 然后还沟了
05:23:xxxxxxxx: 鼓掌
05:23:varna: 我试三次
05:24:varna: 都失败的话就先不管这个出击了
05:36:varna: 进去了
05:36:varna: 下面是武藏吊打时间
05:37:varna: 不过我总是期望开场会有一发鱼雷出去……
05:38:varna: 噗
05:38:varna: 强行A胜？
05:38:varna: 幸好这任务不要全灭敌人
05:45:cleamoon_: 为什么那么多任务不用打敌人
05:47:varna: 这是现在稀少的不用全灭敌人，只要取胜就可以的任务
05:48:condy quit:Read error: Connection reset by peer
05:48:varna: 胜利的规则是击沉敌方旗舰或者造成伤害在敌方总DP中比例2.5倍于敌方造成伤害于己方DP的比例
05:48:varna: 这样得B胜（战术的胜利）
05:49:cleamoon_: 如果和某个三国游戏一样，可以收对方的舰加入我方就好了
05:49:varna: 如果要A胜，需要消灭不少于2/3的敌舰，小数舍去
05:49:varna: 再以上是S胜，全灭敌方
05:49:cleamoon_: 有时间限制吗？
05:49:varna: 如果作战中有己方沉船，评价下调两级
05:49:cleamoon_: .....
05:50:varna: 时间限制没有，不过道中支援和决战支援生效的时间是有限的
05:50:cleamoon_: 常夏还没下完
05:50:varna: 评价会影响经验、士气和掉落
05:50:varna: 士气会影响回避和命中
05:51:cleamoon_: ......略麻烦
05:51:varna: 除此之外是失败，分D/C/E三档，C和D的具体数值区分我没太管，大概是敌方如果没能达到己方的B胜要求就是C, 不然至少是D
05:52:varna: 沉船大概仍然沿用下调两级规则，但似乎最差的评价是E
05:52:varna: 因为近乎都市传说，真得过E败的人恐怕极少
05:53:varna: 另外如果能保持士气高昂（以数值来说就是士气超过49/100），大概有面板回避值*2的估测奖励
05:53:condy joined channel
05:53:varna: 总之一堆零碎计算法
05:54:varna: 至于敌舰加入……
05:54:varna: 毕竟敌方是美国货假定，说下武装差距好了
05:54:cleamoon_: 看了50页证明与反驳，感觉就是扯淡....
05:54:varna: 我方最强的雷达大约是命中加10
05:54:xxxxxxxx: 前几天F91智商杯被黄旭东爆惨了
05:55:varna: 这个数值对实际命中参数的贡献大约是0.1
05:55:varna: 而敌方最强的水上索敌/火控雷达是命中加24……
05:55:cleamoon_: xxxxxxxx, 11号的？
05:55:varna: 线性地，贡献大约是0.24
05:55:cleamoon_: .....
05:55:cleamoon_: 差好远
05:56:varna: 对空雷达对命中的贡献差不多是0.04对0.19
05:56:varna: 敌方的战斗机略差，只是跟现在可能开发的最好的舰战一个水平；攻击队则强一些
05:56:cleamoon_: 总之，日本雷达渣渣
05:57:varna: 总体来说敌方的武装水平要高很多
05:57:varna: 而且他们的主要任务是随便大破玩家一个就行了
05:57:varna: 我自己不搞鱼礁战术，不过我不会批评别人鱼礁
05:57:xxxxxxxx: 对对对
05:57:varna: 但是在鱼礁之前，主要问题是谁能承担得起一个主力被轰沉……
05:58:whocares_2 joined channel
05:58:varna: 练级都是其次，即使对不在乎战力死活的玩家来说，或许开发不能的武装就没了
05:59:varna: 当然敌方的精锐航母是可以在夜战时候继续攻击的
05:59:varna: 没大破就能打
05:59:cleamoon_: 米国也不应该随便沉呀......
05:59:varna: 毕竟这游戏纸面上敌人不是美国，别在意
05:59:varna: 另外指出一点
06:00:cleamoon_: ......
06:00:varna: 如果敌方对己方造成的伤害超出了当前DP, 那么修正为此DP的50%~80%
06:00:varna: 少于零的部分舍去
06:00:varna: 不过这个惯例和大破不沉的设定在大破进击/出击之后失效
06:01:cleamoon_: ....为什么这样
06:01:varna: 不然的话难度太可怕了
06:01:varna: 每场战斗6v6，但实际可能是6v24
06:01:cleamoon_: .....
06:01:varna: 道中加关底一共四场战斗是常事
06:02:varna: 弹药和燃料都以0~10单位计，每一次行走/昼战消耗2燃料/弹药，夜战额外消耗1
06:02:cleamoon_: 到boss没了怎么破
06:02:varna: 不少于50%的燃弹提供100%的回避和火力调整
06:02:varna: 此后每下降10%下修20%
06:03:varna: 没了就打不动躲不开了
06:03:varna: 新人2-4常见悲剧
06:04:boosure joined channel
06:04:varna: 当然1单位消耗在各舰上反应出来的数值不同
06:04:varna: 那是补给的问题了
06:04:cleamoon_: 100%的回避？
06:04:varna: 100%的回避修正
06:05:cleamoon_: 哦
06:05:cleamoon_: 那还好
06:05:cleamoon_: 能不能堆血和攻击
06:06:varna: 血量有两个增长点，一个是改造（固定等级之后的能力上限变化，neta日军主力舰的近代化大改修），一个是结婚（按比例增长一些属性）
06:06:varna: 火力倒是可以堆
06:06:varna: 基本的非航空系炮击火力是面板火力+5，雷击没有+5
06:07:varna: 如果出现主炮系的cut-in攻击，那么乘1.5；如果是主副系的那么视有无电探参加分别乘1.2或者1.1
06:08:varna: 如果是双主炮+电探+侦察机的一回二次炮击那么每击1.2倍
06:08:varna: 特别地，如果cut-in中有AP弹参与那么另乘1.07
06:09:cleamoon_: 那上升不了太多呀
06:09:cleamoon_: 10x倍的上升多好
06:09:varna: 这个伤害和敌方的护甲都在[2/3, 4/3]内分别选一个因数相乘
06:09:varna: 然后以目前仍然不明的算法决定彻甲和CD
06:10:varna: 目前认为发生的CD一定彻甲，再来1.5倍
06:10:varna: 但是在CD前会有一个昼间战上限判定，目前观察到的上限是150
06:11:varna: 超出的部分，在昼间战会开方加到CD前的伤害上
06:11:varna: 另外用于弹着观测的水上机如果搭载了，在至少有航空优势的情况下可以增加炮击战伤害
06:12:varna: 阶段不明，倍率猜测按程度不同大约是1.1或者1.2
06:13:varna: 同时在所有伤害计算之前，不同的航向（同航、反航、T有利、T不利）提供一个基本的火力和雷装调整因数，预先乘
06:13:cleamoon_: 这也猜测的太准确了
06:13:varna: 我猜这里面有内鬼
06:13:cleamoon_: 应该
06:13:varna: 不是所有公式都看起来像最小二乘出来的
06:13:cleamoon_: 公式书之类的
06:14:varna: 不过最新的索敌式大概真是最小二乘的结果，毕竟太难看了，我都懒得记
06:14:cleamoon_: ....
06:14:varna: 而实战中的常见火力和雷装大概是这些
06:14:varna: 火力：98（羽黑程度上下） 160（雾岛） 200（大和级）
06:15:varna: 雷装：99（岛风） 151（北上和大井）
06:15:varna: 己方皮最厚的是武藏，97DP/119装甲
06:16:varna: 敌方花样繁多
06:16:varna: 航母的火力计算稍微不一样
06:16:varna: 炮击战的火力是55+(火力+雷装)*1.5+爆装*2
06:17:varna: 爆装目前只能由舰爆提供
06:17:varna: 最好的是+13，能用到的主力配备是+10
06:18:varna: 除此之外夜战的CD前伤害是超出300的部分开方
06:18:varna: 夜战火力以面板火力+雷装记
06:18:xxxxxxxx: http://www.bilibili.com/video/av1888448/
06:18:varna: 目前能够超出这个300的大概就是秋E4的最终头目吧……
06:19:varna: 简单来说就是差不多这样子的作战计算
06:19:varna: 当然各阵型对不同的命中和AA情况也有修正
06:19:cleamoon_: 麻烦程度赶上口袋妖怪了
06:20:varna: 总之不少算法，玩着玩着也能记得一些
06:20:cleamoon_: 有没有计算器之类的
06:20:varna: 有些插件可以帮你算
06:20:varna: 制空和索敌之类比较重要的数值都可以计算
06:20:cleamoon_: soga
06:21:varna: 不过其实真正作战的火力一般不需要算到底
06:21:cleamoon_: 要钱？
06:21:varna: 不要
06:21:varna: 好的插件反倒是开源免费的
06:21:xxxxxxxx: http://www.bilibili.com/video/av1884467/ 以后怎么面对诸葛亮和王司徒啊...
06:21:varna: 差不多总是需要认真算的部分就是制空和索敌
06:22:varna: 火力和雷装方面，因为不同的武装组合产生不同的特殊攻击方式，往往定论多
06:22:cleamoon_: 火力不算和口袋不一样，口袋里能不能一发制敌很重要呢
06:22:varna: 差不多常用的总是几种配法
06:22:varna: 以战列舰来说，四个装备槽一般都会是两个主炮+一个电探/彻甲弹+水上机
06:23:varna: 微调另论，比如要带HE/HC弹的场合
06:23:cleamoon_: soga
06:23:varna: 或者是强行压火力的场合，主炮副炮+电探水上机
06:23:varna: 而水上机的运用需要制空，所以真正算的大多是这个
06:24:varna: 两方的制空力相比，如果不少于敌方三倍就能获得制空权，否则其下不少于1.5倍有制空优势；敌方同理；如果两方都没有任何优势就算是均势
06:25:varna: 制空的情况影响本次战斗的攻击队和直掩队被击落的数量，此后的战斗按照实际数量调整；如果攻击队都被击落了航母就哑了
06:26:varna: 在至少航空优势的情况下可以运用水上机提供炮击战的特殊攻击，所以现在的状况是尽可能抢制空，毕竟日本的火控雷达太悲催了
06:27:varna: 总之就是造大和时候日本预想的土包子战法……
06:27:cleamoon_: 挺麻烦
06:27:cleamoon_: 没法直接线性逼近结束
06:27:varna: 真正上手打完二图之后差不多这些也都有体感了
06:28:varna: 制空算法我说不清他们到底怎么验证的
06:28:varna: 略诡异
06:28:cleamoon_: 原来羊驼喜欢这类的
06:28:cleamoon_: 可爱的男孩子
06:28:cleamoon_: 几乎是
06:28:varna: 航母一共四个格子，每个有不同的搭载数，于是就是把每个搭载数开方乘上这一格飞机的对空力，然后加起来
06:28:cleamoon_: 不过，看不懂呀....
06:28:varna: 最后算是单舰的制空力
06:29:varna: 最上我个人感觉这作者忽略了重要的可爱之处
06:29:varna: 脑后发太短了
06:30:cleamoon_: 就是可爱的男孩子
06:31:varna: 配音是洲崎绫
06:31:varna: 就是玉子市场那位，和电酱是一样的
06:32:xxxxxxxx: 从背面看到妹子的脖子 不是挺好的么
06:33:cleamoon_: .......
06:33:varna: 立绘的最上脑后发稍微长一点
06:33:varna: 这样女孩子气就多了些
06:33:varna: 当然史实上最上是日军唯一被脑洞地加装了飞行甲板的重巡
06:34:xxxxxxxx: 后脑勺比较圆的话 感觉也很可爱啊
06:34:xxxxxxxx: 脸圆就算了....
06:40:cleamoon_: 重巡为什么是正太
06:40:xxxxxxxx: http://imgsrc.baidu.com/forum/w%3D580%3B/sign=a47d2f4532adcbef01347e0e9c942cdd/2cf5e0fe9925bc3128bf17195ddf8db1ca137054.jpg
06:40:xxxxxxxx: 一个好消息
06:42:varna: cleamoon_: 初期的设定倾向于认为驱逐舰是小学生或者初中生程度，而巡洋舰则是女高程度
06:42:varna: 当然现在巨乳驱逐舰多起来了
06:42:cleamoon_: ....
06:43:xxxxxxxx: 巨乳大屁股驱逐舰?
06:45:varna: 大尻是轻巡，你想多了
06:47:varna: 图画好了，如果我下午还没倒下去的话大概能跟他们讲一小阵子
06:48:varna: 现在wps有像visio一样的简单连接符了，效果还不错的
06:48:cleamoon_: visio?那是干什么的
06:49:varna: office的一部分，用来画各种图示的
06:49:varna: 比如流程图之类
06:49:varna: 提供各种文本框和连接符，比word要方便很多，因为可以自动对齐和生成简单的形状
06:50:xxxxxxxx: 我突然发现tieba一特别碉堡的地方。。。。。
06:51:cleamoon_: soga
06:51:cleamoon_: 那wps很强
06:51:varna: http://imgsrc.baidu.com/forum/w%3D580%3B/sign=085525b493ef76c6d0d2fb23ad2dfcfa/32fa828ba61ea8d310978391940a304e241f58ea.jpg
06:51:xxxxxxxx: 当你点开某人的ID 看到"该用户已隐藏个人动态"的时候  你点他在百度 然后屁股就露出来了.....
06:51:varna: wps只做了简单的功能，比visio差太多
06:51:varna: 不过好歹做了一点，以后就能做好点吧
06:54:xxxxxxxx: 似乎也不是所有人都有用
06:54:xxxxxxxx: 不过舰c吧那个athlon18有用
06:56:cleamoon_: ea基喜欢屁股
06:57:varna: 算了估计我挺不过去了
06:57:xxxxxxxx: 总比喜欢屌好....
06:57:varna: 看点动画我回去小补一觉
06:57:xxxxxxxx: 而且屁股圆圆的 一看就让人想到两个小帝球
06:58:xxxxxxxx: 多可爱啊
07:00:cleamoon_: log一下
07:00:cleamoon_: 基王果然不负众望
07:00:varna: 他只是被爆出了负面心理
07:01:xxxxxxxx: 爆红旗去
07:01:xxxxxxxx: 我好像不知不觉把红旗放在羊驼妹妹的位置上了
07:01:varna: 如果运气好的话，我醒过来的时候还能吃顿饭
07:02:varna: 啊，不行
07:02:varna: 还是很麻烦所以硬挺过去试试看
07:03:varna: 吃完之后回去洗漱一下大概就能清醒点了
07:03:xxxxxxxx: 先撸一管定定神
07:03:varna: xxxxxxxx: 爆
07:03:xxxxxxxx: 我觉得吃完东西之后洗漱一下就该睡着了...
07:04:varna: 要想着还有三个远征要收
07:04:varna: 还可以打至少十一个出击
07:06:varna: 这里不能倒下去，是难得的为冬活做准备的时间
07:06:cleamoon_: 死亡flag还是开挂flag？
07:07:xxxxxxxx: 睡着flag
07:07:varna: 我刚把资源攒过低保线
07:07:varna: 如果睡着至少也得在实验室睡一会，这样别人来了能立刻叫醒我
07:08:cleamoon_: 别人来了能立刻爆你
07:09:xxxxxxxx: 然后来个妹子做早安KJ
07:09:varna: 妹子看到另一边的屏幕上挂着远征就不会有什么KJ了
07:12:cleamoon_: 会直接拆了你所有的船
07:15:cleamoon_: 不要查蚰蜓，别说我没提醒你
07:16:varna: 所以我还是在睡觉的时候把屏幕锁上
07:18:cleamoon_: 2333
07:19:cleamoon_: 如果睡得很死的话，我肯定会拆船的
07:21:varna: 撤退
08:12:xxxxxxxx: 蚰蜒猪肉汤 去掉前面两个字多好
08:17:cleamoon_: 前面两个字才是重点
08:27:cleamoon_: 有一个实验说，先往一个瓶子里装满小石块，然后还能装下细沙，最后看似满了，却还能装下半瓶水。这个实验告诉我们，吃自助餐一定不能先喝饮料。(zt)
08:28:varna: 我回来了
08:28:xxxxxxxx: 这么快就醒了?
08:28:varna: 我没睡
08:28:varna: 现在我可以悠哉地睡一会了
08:28:varna: 不过之前我先挂上远征
08:44:cleamoon joined channel
08:44:cleamoon__ quit:Read error: Connection reset by peer
08:44:varna: 我日
08:45:varna: 被纸划破了
08:45:xxxxxxxx: 细皮嫩肉驼
08:46:varna: 那个词是用来形容你肛门括约肌的
08:46:cleamoon__ joined channel
08:46:varna: 被纸划破当然是很正常的事情
08:47:xxxxxxxx: 那擦屁股不是很危险?
08:48:varna: 是被纸边划破的，不是面积大的一侧
08:49:xxxxxxxx: 大概是我皮厚....
08:50:varna: 不是尻部，是手啊
08:50:cleamoon quit:Ping timeout: 244 seconds
08:50:varna: 拿东西的时候被纸箱子边划破了
08:50:xxxxxxxx: 纸箱子上面有钉子倒可能划破...
08:51:varna: ...
08:51:varna: 你是兽人么
08:51:varna: 哦对你是受人……
08:53:xxxxxxxx: 至少我手指上不会被纸划破....
08:53:xxxxxxxx: 胳膊大概会
08:54:varna: 毕竟你是受人
09:17:lh_cat: 喵
09:32:cleamoon__ quit:Ping timeout: 264 seconds
09:56:whatofor joined channel
10:04:tutu joined channel
10:08:xxxxxxxx: 我刚想起昨天说的翻字典看本子的说法 然后想到个问题 别人看到字典里面的奇怪痕迹发问的话 该怎么掩盖真相
10:16:cleamoon_ quit:Read error: Connection reset by peer
10:31:tutu quit:Ping timeout: 272 seconds
10:32:lh_cat quit:Ping timeout: 265 seconds
10:36:tutu joined channel
10:39:lh_mouse joined channel
11:09:xxxxxxxx quit:Quit: Leaving...
11:09:lh_cat joined channel
11:10:varna quit:Read error: Connection reset by peer
11:10:varna joined channel
11:13:lh_bot: 妹子妹子
11:22:hoxily1 joined channel
12:07:varna: 我居然倒在实验室了
12:08:lh_bot: 倒♂了
12:13:whatofor_1 joined channel
12:14:lh_bot: 妹子妹子
12:15:hoxily1 quit:Quit: Bye
12:16:whatofor quit:Ping timeout: 264 seconds
12:17:izmntuk quit:Quit: leaving
12:17:lh_bot: 度狗贴吧昨天那事情别看动静不小  等几天以后这事情就被人忘了
12:17:lh_bot: 然后百度就可以重新收钱了
12:18:varna: 事情不都是这样么
12:18:varna: 赚钱的闷声赚钱，没钱的喊破嗓子
12:18:lh_bot: 然后又会被一帮小学生占领
12:18:varna: 一看就知道的事情
12:18:lh_bot: 为什么 irssi 显示有的字符是乱码
12:18:lh_bot: 12:18 < varna> 赚钱的闷声赚钱，���钱的喊破嗓子
12:18:varna: 偶尔会有一字节随机抽风，原因不明
12:18:tutu quit:Read error: Connection reset by peer
12:19:lh_bot: o.o
12:19:tutu joined channel
12:19:lh_bot: 妹子今天没来
12:20:varna: 今天才周四，妹子还得上学
12:21:lh_mouse: 真奇怪
12:21:lh_mouse: 我这里 /topic 显示是 Topic for #c_lang_cn set by varna (Wed Jan 14 19:58:28 2015)
12:21:lh_bot: 这里显示是 Topic set by ChanServ [ChanServ@services.] [Wed Jan 14 19:58:28 2015]
12:21:erhandsome joined channel
12:22:varna: 我刚设置的时候显示的是ChanServ, 现在显示的是我了
12:22:lh_bot: 喵了个咪
12:25:lh_bot: 有可能是 server 不一样
12:26:lh_bot: 这里是 asimov.freenode.net
12:26:lh_mouse quit:Quit: Meow
12:28:lh_mouse joined channel
12:28:lh_mouse: 依然不是 chanserv
12:30:lhanjian joined channel
12:31:tutu quit:Ping timeout: 264 seconds
12:32:varna: 稍微复活了
12:33:lh_bot: \/quote topic #c_lang_cn 
12:33:lh_bot: 显示是 varna
12:35:AngelC joined channel
12:37:varna: 啊，欢迎
12:38:varna quit:Read error: Connection reset by peer
12:38:varna joined channel
12:38:varna: 我居然被SSL瞬杀了
12:39:condy: 是ssl handshake failed?
12:39:varna: 是
12:39:varna: 握手挂了
12:39:condy: 昨天我也遭遇这情况了。。
12:39:lhanjian: blocked By GFW
12:39:varna: 无所谓了，很快能重连
12:39:varna: 如果一直失败的话，我不用SSL也无所谓
12:39:lhanjian: 好在多刷两次还是能进来
12:40:varna: 这里本来也没必要讨论什么反对国策的内容
12:40:MoeIcenowy joined channel
12:40:lh_bot: varna.freenode.net
12:40:varna: 人家那是凡尔纳
12:41:lhanjian: varna, 凡尔纳驼
12:41:lh_bot: varna-tuo.freenode.net
12:41:varna: 我只是一匹常见的草泥马
12:41:varna: varna-tor
12:41:lh_bot: SASL 貌似支持加密？
12:42:lh_bot: 这样无必要 SSL  别手贱 PLAIN 就行
12:42:dantmnf: 现在只能 PLAIN 了
12:42:lh_bot: 总比  /msg nickserv 强
12:43:lhanjian: 本来没必要讨论什么国策的，只不过国策制定者老来讨论我们的重要需求
12:43:dantmnf: 现在没有 SSL 就浑身不舒服
12:44:lhanjian: dantmnf, 我只求不被再查一次水表
12:44:lh_bot: 你被查过？
12:44:varna: 他被查过一回
12:44:lh_bot: 还有这档子事啊
12:44:lhanjian: lh_bot, 不要用hotmail和境外人士聊些不和谐的内容，。
12:45:lh_bot: lhanjian: 我是五毛你又不是不知道
12:45:lhanjian: lh_bot, 当时我也自认为/被网友认为是五毛
12:45:lhanjian: 你自认为没用，他们单纯就是不想让你们讨论某些事情，支持也不行，反对也不行。
12:45:lhanjian: 最后给我的调查结果是“综合考虑，没有问题”
12:45:lh_bot: 这种事情？
12:46:varna: 到此为止吧
12:46:varna: 简单来讲，如果你底子不够，那就别自作聪明
12:47:lh_bot: 自居驽钝的路过   当然不是说 c++
12:47:varna quit:Read error: Connection reset by peer
12:47:lh_bot: 又掉了、
12:47:varna joined channel
12:47:lhanjian: varna has quit (Read error: Connection reset by peer)
12:47:varna quit:Read error: Connection reset by peer
12:48:lh_bot: 一语成谶
12:48:varna joined channel
12:48:whocares_2 quit:Remote host closed the connection
12:48:lh_bot: 我也来试试
12:49:lh_bot: varna [~varna@59.72.109.22] has quit [Read error: Connection reset by peer]
12:49:varna: 补一句，至于多够算够，够的人有体会，不够的人自知不够，这足够了
12:49:lhanjian: 这跟底子不够有啥关系？啥是自作聪明？
12:49:varna: 别想了
12:50:varna: 如果你想不清楚，说明你没必要想清楚
12:54:whocares_2 joined channel
12:56:whatofor joined channel
12:59:whatofor_1 quit:Ping timeout: 246 seconds
13:01:tutu joined channel
13:08:MoeIcenowy quit:Ping timeout: 245 seconds
13:18:varna: 不行，好想侵犯个谁啊
13:19:varna: 侵犯谁呢
13:26:lhanjian quit:Quit: Leaving
13:26:lhanjian joined channel
13:40:lh_bot: 妹子
13:44:izmntuk joined channel
13:44:varna quit:Read error: Connection reset by peer
13:44:varna joined channel
13:46:lh_bot: http://tieba.baidu.com/p/3529601709
13:49:tutu quit:Ping timeout: 245 seconds
13:53:tutu joined channel
14:06:tutu quit:Ping timeout: 264 seconds
14:08:dantmnf quit:Quit: ZNC - http://znc.in
14:09:dantmnf joined channel
14:09:varna quit:Read error: Connection reset by peer
14:10:varna joined channel
14:10:tutu joined channel
14:24:YDJX joined channel
14:25:T2 joined channel
14:28:lh_bot: 妹子
14:29:T2: 我的爱，明明还在，转身了才明白。 2333
14:31:AngelC: T2大hentai
14:32:T2: 变态的不是我，是世界。
14:33:varna quit:Read error: Connection reset by peer
14:33:varna joined channel
14:36:T2: 满嘴谎言遍地陷阱把教育搞成选拔的洗脑世界，可惜他们智商不足。
14:37:T2: 拜变态老湿所赐，我小学五年级就不怕试探了。
14:37:T2: 也许还早些，谁知道呢。
14:37:T2: 2333
14:38:FrankHB: 小学就敢肛老师了？
14:38:lh_bot: 中二模式开启？
14:38:lh_bot: FrankHB: 吱
14:38:T2: FrankHB: 我的小学是在游戏厅过的，那群伙计还不够格让我肛。
14:40:T2: 只是看见学霸云和烧饼绅士有感
14:40:varna quit:Read error: Connection reset by peer
14:40:varna joined channel
14:41:varna quit:Read error: Connection reset by peer
14:46:varna joined channel
14:46:lh_bot: 羊驼又开始疯狂掉线
14:46:T2: 估计又有傻木耳在搞飞机
14:50:lhanjian quit:Quit: Leaving
14:50:lhanjian joined channel
14:52:hoxily1 joined channel
14:53:T2: 劳资就想学点靠谱东西，就得继续配合它们演这出，真TM无聊。
14:53:lh_bot: 一边自学一边对付才是正道
14:53:hoxily joined channel
14:53:lh_bot: doublethinking 应该从小灌输
14:53:T2: 我现在唯一好奇的就是它们最后会用什么嘴脸跳出来收场。
14:54:T2: 给个什么糖买劳资这辈子
14:54:T2: 我实在想不出来
14:58:T2: 这就是幽 默
14:58:T2: 算了不说这个，无聊。
15:01:lh_bot: 别中二
15:01:T2: 这不是中二
15:01:T2: 真的是幽默
15:02:T2: 它能给的我大概都不稀罕
15:03:boosure quit:Ping timeout: 245 seconds
15:03:T2: 学点东西也是难
15:04:lh_bot: 你这是中三
15:04:T2: 也许吧
15:04:T2: 我已经不在意这个了。
15:04:lh_bot: T2: 你已经在意了
15:04:T2: 早就不在意了。
15:04:lh_bot: 如果你不在意你上面说的是什么
15:04:lh_bot: 口嫌体正直
15:04:T2: 我只是看见绅士和学霸云
15:04:lh_bot: 你心里肯定在意的  没说错吧
15:05:T2: 没，真的。
15:05:T2: 原来在意的
15:05:lh_bot: 你跟我装啥呀
15:05:lh_bot: 我又不吃人
15:05:T2: 所以干脆劳资就去艹妹打dota
15:05:T2: 但是无聊
15:05:T2: 我的爱，明明还在，转身了才明白。
15:05:lh_bot: 你现在还是心里长草
15:05:T2: 2333
15:06:lh_bot: 我上学时候也觉得学校教的东西没用  所以自学啊
15:06:T2: 不是，我不知道怎么说。
15:06:lh_bot: 你要觉得艹妹打 dota  那也是你的选择  不过后果是什么你懂的
15:06:YDJX quit:Remote host closed the connection
15:06:beefcafe: lh_bot: how old are you?
15:06:lh_bot: 你要真想学点东西就自学  但是面上的东西还是得对付
15:07:lh_bot: beefcafe: 22
15:07:T2: 嗯
15:07:YDJX joined channel
15:07:beefcafe: that's old
15:07:lh_bot: wth?
15:07:beefcafe: yeah
15:07:lh_bot: 啊  可能过完一个生日就 23 了
15:07:whatofor quit:Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/
15:07:beefcafe: thus making you even older
15:08:beefcafe: what do you do in shanghai?
15:08:lh_cat quit:Ping timeout: 256 seconds
15:08:lh_bot: beefcafe: game server programmer
15:08:YDJX quit:Client Quit
15:08:lh_bot: T2: 没事写点啥东西  出去找工作也不至于说没做啥东西
15:08:beefcafe: in which language?
15:09:lh_bot: 比如我当时简历上写我写过七万行代码
15:09:lh_bot: beefcafe: c++
15:09:T2: lh_bot: 嗯
15:09:T2: 主要现在没空
15:09:T2: 加班看书都看不完
15:09:lh_bot: 你不是还没毕业么
15:09:lh_bot: 怎么加班了
15:09:T2: 要补的有点多
15:09:beefcafe: 但有空聊天。。。
15:10:lh_bot: 也是啊
15:10:lh_bot: complain less, do more.
15:10:T2: 我连天都不聊就得回去吃药了。
15:10:lh_bot: He who knows does not speak. He who speaks does not know.
15:10:beefcafe: lh_bot: you must be german!
15:11:lh_bot: beefcafe: no
15:11:lh_bot: T2: 我说些我的观点吧
15:11:shaw1 joined channel
15:11:beefcafe: how did you say something so profound and philosophical?
15:11:T2: 说
15:11:lh_bot: 中国的环境不是认可专业能力  但是绝不是完全不看能力 - 非专业的
15:12:lh_bot: 这什么词……
15:12:beefcafe: 嗯？
15:12:T2: 这我无所谓
15:12:hoxily quit:Quit: Leaving
15:12:lh_bot: beefcafe: copy others' words
15:12:T2: 他认什么我给他什么就是咯
15:12:lh_bot: a.k.a. COW
15:12:whatofor joined channel
